Frequency (Hz),Duration (ns),Angle of Arrival (degrees),Strength,current_time,Cluster_Angle,Cluster_Frequency
420.1513890123997,75.0561623771808,49.8708699886033,78.91821158087049,13:44:07.315,0,-1
236.7340124253929,61.68575941583386,52.8544855721329,75.50237799099115,13:44:07.317,0,-1
488.0492270542247,21.606383208080963,27.37507021659681,95.92716437467207,13:44:07.319,0,-1
179.4996975620983,29.74968196314005,84.52912994142012,83.75195693179369,13:44:07.321,0,-1
526.8700296661167,42.59847107804747,86.2101150420639,60.46194369881729,13:44:07.323,0,-1
916.3622001094244,50.60900294356478,57.36501192433047,99.67189988838832,13:44:07.325,0,-1
602.326160424028,51.97988363060109,10.98675518659966,25.088137524555787,13:44:07.327,0,-1
918.4254253756308,64.5941952382285,10.265884713517076,93.60716172560711,13:44:07.329,-1,-1
165.7155204966631,75.92109748405272,70.51154790087205,23.93040340773505,13:44:07.331,0,-1
493.347881809638,76.7559919183287,87.50868772033573,63.06372862850124,13:44:07.333,0,-1
943.236941342224,27.28255942056307,73.3759632809721,97.94386351773282,13:44:07.335,0,-1
102.11258356587685,22.299483592486244,32.408724182329536,11.310350146047057,13:44:07.337,0,-1
28.542323999602207,10.960959475495018,75.58515671182185,95.50012797204062,13:44:07.339,0,-1
845.7692250771756,66.7768166556595,77.03553571926507,81.01117785904165,13:44:07.341,0,-1
279.1259242205454,44.75944040651963,57.61920710398284,44.32775983861181,13:44:07.343,0,-1
771.4166798431805,78.53431473846011,80.57151005035543,73.9652048821548,13:44:07.345,0,-1
353.66987068119045,11.644230986068852,72.489361978181,31.076426282984905,13:44:07.347,0,-1
643.58310241605,57.481870255093234,70.44606275027827,79.55001190486938,13:44:07.349,0,-1
893.6147683094779,36.73477823116558,74.19231007787918,48.44236840097855,13:44:07.351,0,-1
524.6313987772124,95.40151644058328,45.43181517852209,25.755196213782888,13:44:07.353,0,-1
446.5235233136125,39.38608783549751,82.99977267147764,53.16568349816787,13:44:07.355,0,-1
451.5371566936487,83.50819454878979,37.121774789148745,48.11320160691456,13:44:07.357,0,-1
108.97856301502198,41.01078020696304,86.58000560968225,91.6458252244812,13:44:07.359,0,-1
765.9705694119491,60.377333864540375,98.27574004770489,75.15606181165977,13:44:07.361,-1,-1
687.7872599554174,45.43249547232811,29.95501972958836,94.71689138965836,13:44:07.363,0,-1
208.2279296487829,41.26754984963351,47.40520622373945,88.46454134020773,13:44:07.365,0,-1
519.9974258423981,73.58375585555368,97.51393717017446,99.19986274442078,13:44:07.367,0,-1
379.9622193426261,98.1608189433556,78.09913330732569,75.8823491563787,13:44:07.369,0,-1
197.89465821241683,84.84778982141259,79.20145393326666,95.67617359740336,13:44:07.371,0,-1
353.6677956463297,99.692498046735,23.886475956451594,97.5952194311495,13:44:07.373,0,-1
277.2434448031013,41.387359630005705,43.726769649608606,66.08704240728662,13:44:07.375,0,-1
756.8987698748439,81.1859677638658,56.60535672472495,33.213981575725974,13:44:07.377,0,-1
790.9347320993919,92.29672994631184,46.87723102197376,66.52672129229057,13:44:07.379,0,-1
492.9994482124056,53.12505308221283,25.25172576576268,39.90319525042372,13:44:07.381,0,-1
517.2557476948792,69.90696057696024,25.39255319257911,33.06810275392168,13:44:07.383,0,-1
308.2571190550444,62.60080289684226,92.02099184565412,94.92131395120327,13:44:07.385,0,-1
980.6662074594338,10.234489533811272,91.17856399024538,29.84565913047828,13:44:07.387,-1,-1
191.6756539955233,15.891797046852194,74.51530513767298,81.56340348276498,13:44:07.389,0,-1
485.5532145675224,55.5803144670812,47.78341350597688,23.79821447897426,13:44:07.391,0,-1
490.4033197545995,92.80287837311865,53.93449565649296,15.71679106470134,13:44:07.393,0,-1
310.3541265443403,42.12989734169327,64.32192162484179,17.99766731892308,13:44:07.395,0,-1
212.6600616802841,34.480092092754724,88.73893520754037,42.58319378897316,13:44:07.397,0,-1
920.4288370988864,24.02401902561342,59.29954436491523,82.36890079161424,13:44:07.399,0,-1
942.449676057728,18.58017754472493,64.04265404699372,57.60444044453431,13:44:07.401,0,-1
627.2182346639787,56.37219914548037,52.99951796867483,23.981749968019194,13:44:07.403,0,-1
901.8438700663298,60.83098800243475,66.77403125970942,67.06365449814508,13:44:07.405,0,-1
110.79867892651536,74.87778386636728,83.139372793366,28.406423985065757,13:44:07.407,0,-1
157.53133400671277,68.45119939401712,42.78643733833977,27.736051089285528,13:44:07.409,0,-1
515.9556721828235,82.97299682893967,66.57339286648136,59.27342361880559,13:44:07.411,0,-1
217.59083553495907,88.08708245093395,34.05737890767699,40.68743908271537,13:44:07.413,0,-1
240.74464852910447,74.54422020333625,16.74157928206972,68.18227849124261,13:44:07.415,0,-1
156.57477573449088,90.10482357338353,74.82838126444217,45.8743319260029,13:44:07.417,0,-1
867.438511073679,85.36728145126958,55.975617713058455,59.69367195839091,13:44:07.419,0,-1
846.0121620746048,63.95779194213606,13.333905203770785,82.95884225629425,13:44:07.421,-1,-1
959.8554445932836,18.591840851601116,30.37895852712526,42.89217679198182,13:44:07.423,0,-1
499.8837753652497,20.737381444450044,36.25534932355061,40.23311760765312,13:44:07.425,0,-1
317.5930995403277,35.42373558223308,17.13153727990491,52.4914807313034,13:44:07.427,0,-1
778.9111498170955,37.689470942907846,81.86122769077957,97.74523994661556,13:44:07.429,0,-1
301.7314860970674,83.32757175857289,16.898791898930146,99.92517968747669,13:44:07.431,0,-1
255.7632115372489,22.67232681410623,71.0396357885306,45.06619448348412,13:44:07.433,0,-1
927.018640480669,24.59331733478241,97.19404745336888,65.07208586867854,13:44:07.435,-1,-1
426.7709400317263,88.98630179663719,63.36216202305633,75.28480500704607,13:44:07.437,0,-1
928.0053365177804,33.78051868064587,66.40233707882732,86.94507211631186,13:44:07.439,0,-1
27.1946551542177,83.65149126547924,27.847085186462635,42.223207995535056,13:44:07.441,0,-1
798.7376975083511,72.75881397729708,35.214004543539914,83.51170075458404,13:44:07.443,0,-1
38.44785674159176,52.135769449131125,30.609431921500047,14.756751493511382,13:44:07.445,0,-1
132.17543764518032,51.26571385739901,33.2448087985613,25.236828897222036,13:44:07.447,0,-1
905.8092664988692,52.52062027251921,28.37869084868819,93.50432635943564,13:44:07.449,0,-1
84.34215414924007,91.92166907295112,77.27273655104247,91.00021571338272,13:44:07.451,0,-1
106.4252545596198,51.78206687199315,47.81827658357373,32.01805635318382,13:44:07.453,0,-1
627.6867851670019,13.95211927554764,78.23849605047808,29.469869729810128,13:44:07.455,0,-1
988.7725981658176,17.506725156218565,49.093193979599846,61.43586126005407,13:44:07.457,0,-1
113.91494630739278,52.80328453884313,92.2102815144938,64.51044269014334,13:44:07.459,0,-1
532.4787919704454,24.29804312280722,14.51790736058986,87.48266560987317,13:44:07.461,0,-1
100.43918685485512,18.79291795595918,72.05851561892655,74.77617673678213,13:44:07.463,0,-1
801.1501357377869,39.03287029527009,62.63107985559208,80.23277237297154,13:44:07.465,0,-1
